年度最大主题分析
==============================
年份       最大主题       主题比例       总文档数      
----------------------------------------
1997     0          91.85%           233       
1998     0          96.88%           641       
1999     0          88.59%           403       
2000     0          77.78%           396       
2001     0          91.12%           394       
2002     0          82.88%           631       
2003     0          87.75%           816       
2004     0          89.65%           889       
2005     0          92.56%           672       
2006     0          92.30%           844       
2007     0          85.34%           423       
2008     0          72.98%           818       
2009     0          82.57%           436       
2010     0          95.02%           1165      
2011     0          82.04%           1147      
2012     0          83.33%           990       
2013     0          93.09%           1085      
2014     0          79.21%           957       
2015     0          69.72%           1311      
2016     0          78.07%           1003      
2017     0          94.17%           600       
2018     0          93.53%           804       
2019     0          74.88%           852       
