年度最大主题分析
==============================
年份       最大主题       主题比例       总文档数      
----------------------------------------
1997     1          13.43%           216       
1998     8          15.64%           652       
1999     3          12.15%           395       
2000     0          15.19%           395       
2001     9          18.37%           392       
2002     9          11.73%           614       
2003     0          14.68%           865       
2004     6          10.74%           866       
2005     13         22.58%           589       
2006     4          13.32%           773       
2007     0          8.45%           438       
2008     34         14.20%           817       
2009     1          14.39%           403       
2010     3          17.63%           1112      
2011     0          17.27%           1436      
2012     0          25.14%           1106      
2013     2          12.91%           1146      
2014     21         16.50%           1006      
2015     0          17.69%           1487      
2016     6          12.40%           1000      
2017     8          12.30%           569       
2018     24         11.90%           857       
2019     11         33.75%           886       
