BERTopic 主题结果
==============================

主题 0:
  justice: 0.0283
  court: 0.0278
  prison: 0.0271
  judge: 0.0205
  criminal: 0.0202
  jury: 0.0197
  crime: 0.0181
  sentence: 0.0173
  offence: 0.0166
  probation: 0.0161

主题 1:
  health: 0.0604
  patient: 0.0525
  care: 0.0479
  hospital: 0.0416
  mental: 0.0205
  treatment: 0.0196
  doctor: 0.0181
  trust: 0.0171
  medical: 0.0153
  reorganisation: 0.0128

主题 2:
  election: 0.0287
  electoral: 0.0206
  elect: 0.0152
  candidate: 0.0133
  voter: 0.0116
  constitutional: 0.0110
  argument: 0.0108
  common: 0.0107
  power: 0.0105
  ballot: 0.0103

主题 3:
  economy: 0.0272
  growth: 0.0215
  economic: 0.0206
  deficit: 0.0138
  labour: 0.0135
  bank: 0.0133
  investment: 0.0129
  wage: 0.0123
  debt: 0.0118
  measure: 0.0114

主题 4:
  energy: 0.0928
  price: 0.0314
  climate: 0.0288
  carbon: 0.0271
  fuel: 0.0261
  company: 0.0246
  green: 0.0232
  market: 0.0227
  electricity: 0.0216
  emission: 0.0215

主题 5:
  ireland: 0.0860
  northern: 0.0798
  decommission: 0.0306
  ira: 0.0297
  agreement: 0.0295
  sinn: 0.0286
  belfast: 0.0246
  unionist: 0.0233
  fein: 0.0229
  irish: 0.0179

主题 6:
  pension: 0.1195
  woman: 0.0422
  age: 0.0358
  annuity: 0.0347
  pensioner: 0.0335
  retirement: 0.0324
  income: 0.0260
  universal: 0.0190
  life: 0.0156
  retire: 0.0145

主题 7:
  school: 0.1507
  education: 0.0518
  child: 0.0432
  teacher: 0.0425
  academy: 0.0422
  pupil: 0.0365
  parent: 0.0357
  grammar: 0.0270
  class: 0.0193
  educational: 0.0184

主题 8:
  scottish: 0.0892
  scotland: 0.0685
  snp: 0.0261
  devolve: 0.0239
  devolution: 0.0217
  power: 0.0202
  kingdom: 0.0188
  unite: 0.0184
  english: 0.0168
  election: 0.0132

主题 9:
  hunt: 0.0555
  animal: 0.0541
  cull: 0.0437
  farmer: 0.0393
  badger: 0.0362
  dog: 0.0333
  farm: 0.0328
  fox: 0.0257
  rural: 0.0241
  food: 0.0214

主题 10:
  marriage: 0.0626
  religious: 0.0392
  gay: 0.0295
  samesex: 0.0282
  church: 0.0277
  civil: 0.0271
  partnership: 0.0262
  religion: 0.0257
  couple: 0.0244
  homosexual: 0.0243

主题 11:
  university: 0.1138
  student: 0.1102
  education: 0.0685
  fee: 0.0602
  higher: 0.0585
  graduate: 0.0315
  tuition: 0.0229
  college: 0.0217
  loan: 0.0197
  grant: 0.0179

主题 12:
  poverty: 0.0590
  child: 0.0513
  family: 0.0479
  income: 0.0414
  wage: 0.0267
  welfare: 0.0237
  household: 0.0229
  parent: 0.0176
  universal: 0.0158
  measure: 0.0153

主题 13:
  terrorism: 0.0723
  terrorist: 0.0500
  offence: 0.0307
  detention: 0.0167
  liberty: 0.0161
  suspect: 0.0154
  glorification: 0.0153
  person: 0.0138
  power: 0.0133
  activity: 0.0130

主题 14:
  rent: 0.1040
  tenant: 0.0537
  landlord: 0.0496
  property: 0.0402
  affordable: 0.0347
  accommodation: 0.0261
