年度最大主题分析
==============================
年份       最大主题       主题比例       总文档数      
----------------------------------------
1997     2          25.55%           411       
1998     3          39.79%           847       
1999     3          24.26%           672       
2000     5          25.42%           716       
2001     7          23.59%           640       
2002     5          26.03%           1118      
2003     3          30.74%           1467      
2004     5          26.83%           1476      
2005     7          33.57%           1150      
2006     3          26.64%           1449      
2007     3          21.84%           824       
2008     1          23.29%           1576      
2009     3          22.85%           976       
2010     3          27.62%           2129      
2011     2          25.32%           2567      
2012     2          24.01%           2282      
2013     2          30.15%           2302      
2014     2          23.16%           2042      
2015     2          24.95%           2449      
2016     2          21.56%           1971      
2017     3          20.30%           1128      
2018     1          23.45%           1548      
2019     1          36.16%           1618      
